date,value
1996-01-31,141962.0
1996-02-29,142601.25
1996-03-31,142902.5
1996-04-30,143683.0
1996-05-31,144764.75
1996-06-30,146285.125
1996-07-31,148137.0
1996-08-31,149976.5
1996-09-30,151561.25
1996-10-31,153098.375
1996-11-30,154882.125
1996-12-31,157208.75
1997-01-31,158984.75
1997-02-28,160026.625
1997-03-31,161317.625
1997-04-30,163235.875
1997-05-31,164961.75
1997-06-30,165552.875
1997-07-31,160376.2
1997-08-31,153952.0909090909
1997-09-30,154283.54545454544
1997-10-31,154913.9090909091
1997-11-30,155205.36363636365
1997-12-31,155201.0909090909
1998-01-31,155585.45454545456
1998-02-28,156625.72727272726
1998-03-31,157224.0
1998-04-30,157440.45454545456
1998-05-31,157240.0909090909
1998-06-30,149114.66666666666
1998-07-31,149726.16666666666
1998-08-31,150506.0
1998-09-30,151003.5
1998-10-31,151163.58333333334
1998-11-30,151547.66666666666
1998-12-31,151378.75
1999-01-31,145230.6923076923
1999-02-28,145414.84615384616
1999-03-31,146514.07692307694
1999-04-30,147270.6923076923
1999-05-31,148059.53846153847
1999-06-30,148602.3076923077
1999-07-31,149198.61538461538
1999-08-31,149774.15384615384
1999-09-30,150299.6923076923
1999-10-31,150840.15384615384
1999-11-30,151348.84615384616
1999-12-31,151891.61538461538
2000-01-31,147902.09328940455
2000-02-29,148111.61406351664
2000-03-31,148292.74130946037
2000-04-30,148782.12046158366
2000-05-31,149200.49826957958
2000-06-30,149725.6605107836
2000-07-31,150122.2236819009
2000-08-31,150774.43473968806
2000-09-30,151247.9404661663
2000-10-31,151737.8281528784
2000-11-30,151878.59589207874
2000-12-31,152418.97718422706
2001-01-31,152688.54570119758
2001-02-28,152977.7258856802
2001-03-31,152650.07003909574
2001-04-30,152647.61535950057
2001-05-31,152647.78070407527
2001-06-30,153051.9432196212
2001-07-31,155152.55769489
2001-08-31,155776.81466244048
2001-09-30,156429.0946049997
2001-10-31,157017.86071639476
2001-11-30,157329.35350373734
2001-12-31,157783.54444066735
2002-01-31,157951.93597880894
2002-02-28,158188.81628168945
2002-03-31,158229.8949724333
2002-04-30,158452.56166770906
2002-05-31,158585.0817328928
2002-06-30,158752.9560197684
2002-07-31,159215.93531145935
2002-08-31,159568.1179520977
2002-09-30,159906.25135111035
2002-10-31,160033.97540761315
2002-11-30,160423.96587992122
2002-12-31,160964.4973674592
2003-01-31,161230.92261211204
2003-02-28,161378.8209636876
2003-03-31,161426.8312944474
2003-04-30,161960.60238922128
2003-05-31,162708.49815482163
2003-06-30,163567.71140653285
2003-07-31,164516.00371019632
2003-08-31,165853.20132262417
2003-09-30,167287.96429499937
