,zipcode,total_price
0,98001,101651298.0
1,98002,46622523.0
2,98003,82351158.0
3,98004,429828885.0
4,98005,136107699.0
5,98006,428123020.0
6,98007,87011817.0
7,98008,182678588.0
8,98010,42366599.0
9,98011,95618536.0
10,98014,56496522.0
11,98019,80709862.0
12,98022,73875977.0
13,98023,143079663.0
14,98024,47022670.0
15,98027,254200124.0
16,98028,130881850.0
17,98029,196661809.0
18,98030,75824123.0
19,98031,82347930.0
20,98032,31412030.0
21,98033,347206834.0
22,98034,284300808.0
23,98038,216451884.0
24,98039,108030330.0
25,98040,336772866.0
26,98042,170774394.0
27,98045,97123109.0
28,98052,370362856.0
29,98053,274656039.0
30,98055,81542245.0
31,98056,170881563.0
32,98058,160891929.0
33,98059,230982585.0
34,98065,163667973.0
35,98070,57522596.0
36,98072,155598661.0
37,98074,302352147.0
38,98075,283817019.0
39,98077,135189426.0
40,98092,117557293.0
41,98102,94632118.0
42,98103,352121365.0
43,98105,197586978.0
44,98106,107059767.0
45,98107,154028209.0
46,98108,66156204.0
47,98109,95878975.0
48,98112,294689323.0
49,98115,361402019.0
50,98116,204149276.0
51,98117,318967639.0
52,98118,212159816.0
53,98119,156298435.0
54,98122,183964452.0
55,98125,192476866.0
56,98126,150346050.0
57,98133,191176714.0
58,98136,145094121.0
59,98144,203929844.0
60,98146,103531173.0
61,98148,16239790.0
62,98155,188981660.0
63,98166,117914887.0
64,98168,64648332.0
65,98177,172427275.0
66,98178,81380542.0
67,98188,39314655.0
68,98198,84806087.0
69,98199,251007196.0
